,Film,Year,Award,Nomination
697,The Exorcist,1973,2,10
698,The Way We Were,1973,2,6
699,Cries and Whispers,1973,1,5
700,A Touch of Class,1973,1,5
701,Day for Night,1973,1,4
702,Paper Moon,1973,1,4
703,The Paper Chase,1973,1,3
704,Save the Tiger,1973,1,3
705,The Bolero,1973,1,1
706,Frank Film,1973,1,1
707,The Great American Cowboy,1973,1,1
708,Princeton: A Search for Answers,1973,1,1
709,The Godfather,1972,3,4
710,Cabaret,1972,8,10
711,The Poseidon Adventure,1972,1,8
712,Travels with My Aunt,1972,1,4
713,Butterflies Are Free,1972,1,3
714,The Candidate,1972,1,2
715,The Discreet Charm of the Bourgeoisie,1972,1,2
716,A Christmas Carol,1972,1,5
717,Limelight,1972,1,6
718,Marjoe,1972,1,1
719,Norman Rockwell's World... An American Dream,1972,1,1
720,This Tiny World,1972,1,1
721,The French Connection,1971,5,8
722,Fiddler on the Roof,1971,3,8
723,The Last Picture Show,1971,2,8
724,Nicholas and Alexandra,1971,2,6
725,Sentinels of Silence,1971,2,2
726,Bedknobs and Broomsticks,1971,1,5
727,Summer of '42,1971,1,4
728,The Garden of the Finzi-Continis,1971,1,2
729,The Hospital,1971,1,2
730,Klute,1971,1,2
731,Shaft,1971,1,2
732,The Crunch Bird,1971,1,1
733,The Hellstrom Chronicle,1971,1,1
734,Patton,1970,7,10
735,Ryan's Daughter,1970,2,4
736,Airport,1970,1,10
737,Love Story,1970,1,7
738,M*A*S*H,1970,1,5
739,Tora! Tora! Tora!,1970,1,5
740,Women in Love,1970,1,4
741,Lovers and Other Strangers,1970,1,3
742,Woodstock,1970,1,3
743,Cromwell,1970,1,2
744,Investigation of a Citizen Above Suspicion,1970,1,2
745,Interviews with My Lai Veterans,1970,1,1
746,Is It Always Right to Be Right?,1970,1,1
747,Let It Be,1970,1,1
748,The Resurrection of Broncho Billy,1970,1,1
749,Midnight Cowboy,1969,3,7
750,Butch Cassidy and the Sundance Kid,1969,4,7
751,"Hello, Dolly!",1969,3,7
752,Z,1969,2,5
753,Anne of the Thousand Days,1969,1,10
754,"They Shoot Horses, Don't They?",1969,1,9
755,Marooned,1969,1,3
756,The Magic Machines,1969,1,2
757,The Prime of Miss Jean Brodie,1969,1,2
758,True Grit,1969,1,2
759,Arthur Rubinstein – The Love of Life,1969,1,1
760,Cactus Flower,1969,1,1
761,Czechoslovakia 1968,1969,1,1
762,It's Tough to Be a Bird,1969,1,1
763,Oliver!,1968,5,11
764,The Lion in Winter,1968,3,7
765,Romeo and Juliet,1968,2,4
766,Funny Girl,1968,1,8
767,2001: A Space Odyssey,1968,1,4
768,Bullitt,1968,1,2
769,The Producers,1967,1,2
770,Rosemary's Baby,1968,1,2
771,The Subject Was Roses,1968,1,2
772,The Thomas Crown Affair,1968,1,2
773,War and Peace,1968,1,2
774,Charly,1968,1,1
775,Journey into Self,1968,1,1
776,Robert Kennedy Remembered,1968,1,1
777,Why Man Creates,1968,1,1
778,Winnie the Pooh and the Blustery Day,1968,1,1
779,Planet of the Apes,1968,0,2
780,In the Heat of the Night,1967,5,7
781,Camelot,1967,3,5
782,Bonnie and Clyde,1967,2,10
783,Guess Who's Coming to Dinner,1967,2,10
784,Doctor Dolittle,1967,2,9
785,The Graduate,1967,1,7
786,Thoroughly Modern Millie,1967,1,7
787,Cool Hand Luke,1967,1,4
788,The Dirty Dozen,1967,1,4
789,A Place to Stand,1967,1,2
790,The Anderson Platoon,1967,1,1
791,The Box,1967,1,1
792,Closely Watched Trains,1967,1,1
793,The Redwoods,1967,1,1
794,A Man for All Seasons,1966,6,8
795,Who's Afraid of Virginia Woolf?,1966,5,13
796,Grand Prix,1966,3,3
797,Fantastic Voyage,1966,2,5
798,A Man and a Woman,1966,2,4
799,Born Free,1966,2,2
800,The Fortune Cookie,1966,1,4
801,A Funny Thing Happened on the Way to the Forum,1966,1,1
802,A Herb Alpert and the Tijuana Brass Double Feature,1966,1,1
803,The War Game,1966,1,1
804,Wild Wings,1966,1,1
805,A Year Toward Tomorrow,1966,1,1
806,The Sound of Music,1965,5,10
807,Doctor Zhivago,1965,5,10
808,Darling,1965,3,5
809,Ship of Fools,1965,2,8
810,Cat Ballou,1965,1,5
811,The Great Race,1965,1,5
812,A Patch of Blue,1965,1,5
813,A Thousand Clowns,1965,1,4
814,The Shop on Main Street,1965,1,2
815,The Sandpiper,1965,1,1
816,The Eleanor Roosevelt Story,1965,1,1
817,To Be Alive!,1965,1,1
818,7 Faces of Dr. Lao,1964,0,1
819,7th Heaven,1928,3,5
820,"20,000 Leagues Under the Sea",1954,2,3
821,Adventures of Don Juan,1949,1,2
822,The Adventures of Robin Hood,1938,3,4
823,The African Queen,1951,1,4
824,Air Force,1943,1,4
825,The Alamo,1960,1,7
826,The Alaskan Eskimo,1953,1,1
827,Albert Schweitzer,1957,1,1
828,Alexander's Ragtime Band,1938,1,6
829,All About Eve,1950,6,14
830,All Quiet on the Western Front,1930,2,4
831,All That Money Can Buy,1941,1,2
832,All the King's Men,1949,3,7
833,Ama Girls,1958,1,1
834,America America,1963,1,4
835,An American in Paris,1951,6,8
836,Amphibious Fighters,1943,1,1
837,Anastasia,1956,1,2
838,Anchors Aweigh,1945,1,5
839,Anna and the King of Siam,1946,2,5
840,Annie Get Your Gun,1950,1,4
841,Anthony Adverse,1936,4,7
842,The Apartment,1960,5,10
843,Aquatic House Party,1949,1,1
844,"Arise, My Love",1940,1,4
845,Around the World in 80 Days,1956,5,8
846,The Awful Truth,1937,1,6
847,The Bachelor and the Bobby-Soxer,1947,1,1
848,The Bad and the Beautiful,1952,5,6
849,Bad Girl,1932,2,3
850,The Barefoot Contessa,1954,1,2
851,The Battle of Midway,1942,1,1
852,Battleground,1949,2,6
853,Bear Country,1953,1,1
854,Becket,1964,1,12
855,The Bells of St. Mary's,1945,1,8
856,Ben-Hur,1959,11,12
857,Benjy,1951,1,1
858,The Bespoke Overcoat,1956,1,1
859,The Best Years of Our Lives,1946,7,8
860,Beyond the Line of Duty,1942,1,1
861,Bicycle Thieves,1949,0,1
862,The Big Broadcast of 1938,1938,1,1
863,The Big Country,1958,1,2
864,The Big House,1930,2,4
865,Bill and Coo,1948,0,0
866,Birds Anonymous,1957,1,1
867,The Bishop's Wife,1947,1,5
868,Black Fox: The Rise and Fall of Adolf Hitler,1962,1,1
869,Black Narcissus,1947,2,2
870,Black Orpheus,1959,1,1
871,The Black Swan,1942,1,3
872,Blithe Spirit,1946,1,1
873,Blood and Sand,1941,1,2
874,Blood on the Sun,1945,1,1
875,Blossoms in the Dust,1941,1,4
876,Body and Soul,1947,1,3
877,Bored of Education,1936,1,1
878,Born Yesterday,1950,1,5
879,A Boy and His Dog,1946,1,1
880,Boys Town,1938,2,5
881,The Brave One,1956,1,3
882,Breakfast at Tiffany's,1961,2,5
883,Breaking the Sound Barrier,1952,1,2
884,The Bridge of San Luis Rey,1929,1,1
885,The Bridge on the River Kwai,1957,7,8
886,The Bridges at Toko-Ri,1955,1,2
887,Broadway Melody of 1936,1935,1,3
888,The Broadway Melody,1929,1,3
889,Broken Lance,1954,1,2
890,Busy Little Bears,1939,1,1
891,BUtterfield 8,1960,1,2
892,Calamity Jane,1953,1,3
893,Call Me Madam,1953,1,2
894,"Captain Carey, U.S.A.",1950,1,1
895,Captains Courageous,1937,1,4
896,Casablanca,1943,3,8
897,Casals Conducts: 1964,1964,1,1
898,The Cat Concerto,1946,1,1
899,Cavalcade,1933,3,4
900,Chagall,1963,1,1
901,The Champ,1932,2,4
902,Champion,1949,1,6
903,A Chance to Live,1949,1,1
904,The Charge of the Light Brigade,1936,1,3
905,The Chicken,1965,1,1
906,Churchill's Island,1941,1,1
907,Cimarron,1931,3,7
908,The Circus,1928,0,0
909,Citizen Kane,1941,1,9
910,City of Wax,1934,1,1
911,Cleopatra,1934,1,5
912,Cleopatra,1963,4,9
913,Climbing the Matterhorn,1947,1,1
914,Come and Get It,1936,1,2
915,"Come Back, Little Sheba",1952,1,3
916,Coquette,1929,1,1
917,The Country Cousin,1936,1,1
918,The Country Girl,1954,2,7
919,Cover Girl,1944,1,5
920,The Cowboy and the Lady,1938,1,3
921,Crash Dive,1943,1,1
922,Crashing the Water Barrier,1956,1,1
923,The Critic,1963,1,1
924,La Cucaracha,1934,1,1
925,Cyrano de Bergerac,1950,1,1
926,A Damsel in Distress,1937,1,2
927,Dangerous,1935,1,1
928,The Dark Angel,1935,1,3
929,The Dawn Patrol,1931,1,1
930,Day of the Painter,1960,1,1
931,Daybreak in Udi,1949,1,1
932,Days of Wine and Roses,1962,1,5
933,December 7th,1943,1,1
934,Declaration of Independence,1938,1,1
935,The Defiant Ones,1958,2,9
936,Der Fuehrer's Face,1942,1,1
937,Desert Victory,1943,1,1
938,Design for Death,1947,1,1
939,Designing Woman,1957,1,1
940,Destination Moon,1950,1,2
941,The Diary of Anne Frank,1959,3,8
942,Disraeli,1930,1,3
943,The Divine Lady,1929,1,3
944,Divorce Italian Style,1962,1,3
945,The Divorcee,1930,1,4
946,Dodsworth,1936,1,7
947,The Dot and the Line,1965,1,1
948,A Double Life,1947,2,4
949,The Dove,1928,1,1
950,Dr. Jekyll and Mr. Hyde,1932,1,3
951,Dumbo,1941,1,2
952,Dylan Thomas,1962,1,1
953,East of Eden,1955,1,4
954,Easter Parade,1948,1,1
955,Elmer Gantry,1960,3,5
956,The Enemy Below,1957,1,1
957,Eskimo,1934,1,1
958,Exodus,1960,1,3
959,The Face of Lincoln,1955,1,2
960,Facing Your Danger,1946,1,1
961,The Facts of Life,1960,1,5
962,Fantasia,1940,0,0
963,A Farewell to Arms,1933,2,4
964,The Farmer's Daughter,1947,1,2
965,Father Goose,1964,1,3
966,Federico Fellini's 8½,1963,2,5
967,Ferdinand the Bull,1938,1,1
968,The Fighting Lady,1944,1,1
969,First Steps,1947,1,1
970,Flowers and Trees,1932,1,1
971,Folies Bergere,1935,1,1
972,For Scent-imental Reasons,1949,1,1
973,For Whom the Bell Tolls,1943,1,9
974,Forbidden Games,1952,0,1
975,,1961,0,0
976,A Free Soul,1931,1,3
977,Frenchman's Creek,1945,1,1
978,From Here to Eternity,1953,8,13
979,The Garden of Allah,1936,0,2
980,Gaslight,1944,2,7
981,Gate of Hell,1954,1,1
982,The Gay Divorcee,1934,1,5
983,Gentleman's Agreement,1947,3,8
984,Gerald McBoing-Boing,1950,1,1
985,Giant,1956,1,10
986,Gigi,1958,9,9
987,Giuseppina,1960,1,1
988,Give Me Liberty,1936,1,1
989,Glass,1959,1,1
990,The Glenn Miller Story,1954,1,3
991,Going My Way,1944,7,10
992,Gold Diggers of 1935,1935,1,2
993,The Golden Fish,1959,1,1
994,Goldfinger,1964,1,1
995,Gone with the Wind,1939,8,13
996,The Good Earth,1937,2,5
997,"Goodbye, Miss Turlock",1947,1,1
998,"Goodbye, Mr. Chips",1939,1,7
999,Grand Canyon,1958,1,1
1000,Grand Hotel,1932,1,1
1001,Grandad of Races,1950,1,1
1002,The Grapes of Wrath,1940,2,7
1003,The Great Caruso,1951,1,3
1004,Great Expectations,1947,2,5
1005,The Great Lie,1941,1,1
1006,The Great McGinty,1940,1,1
1007,The Great Waltz,1938,1,3
1008,The Great Ziegfeld,1936,3,7
1009,The Greatest Show on Earth,1952,2,5
1010,Green Dolphin Street,1947,1,4
1011,The Guns of Navarone,1961,1,7
1012,Hamlet,1948,4,7
1013,Happy Anniversary,1962,1,1
1014,Harvey,1950,1,2
1015,The Harvey Girls,1946,1,2
1016,Heavenly Music,1943,1,1
1017,The Heiress,1949,4,8
1018,Helen Keller in Her Story,1955,1,1
1019,"Hello, Frisco, Hello",1943,1,2
1020,Henry V,1946,0,4
1021,Here Comes Mr. Jordan,1941,2,7
1022,Here Comes the Groom,1951,1,2
1023,The High and the Mighty,1954,1,6
1024,High Noon,1952,4,7
1025,Hitler Lives,1945,1,1
1026,A Hole in the Head,1959,1,1
1027,The Hole,1962,1,1
1028,Holiday Inn,1942,1,3
1029,The Horse with the Flying Tail,1960,1,1
1030,The House I Live In,1945,0,0
1031,The House on 92nd Street,1945,1,1
1032,How Green Was My Valley,1941,5,10
1033,How the West Was Won,1963,3,8
1034,How to Sleep,1935,1,1
1035,Hud,1963,3,7
1036,The Human Comedy,1943,1,5
1037,The Hurricane,1937,1,3
1038,The Hustler,1961,2,9
1039,I Want to Live!,1958,1,6
1040,I Wanted Wings,1941,1,1
1041,I Won't Play,1944,1,1
1042,I'll Cry Tomorrow,1955,1,4
1043,In Beaver Valley,1950,1,1
1044,In Old Arizona,1929,1,5
1045,In Old Chicago,1937,2,6
1046,In Which We Serve,1942,0,2
1047,The Informer,1935,4,6
1048,Interrupted Melody,1955,1,3
1049,The Invaders,1942,1,3
1050,Irma la Douce,1963,1,3
1051,It Happened One Night,1934,5,5
1052,"It's a Mad, Mad, Mad, Mad World",1963,1,6
1053,The Jazz Singer,1928,0,1
1054,Jezebel,1938,2,5
1055,Joan of Arc,1948,2,7
1056,Johann Mouse,1952,1,1
1057,Johnny Belinda,1948,1,12
1058,Johnny Eager,1942,1,1
1059,The Joker Is Wild,1957,1,1
1060,The Jolson Story,1946,2,6
1061,Judgment at Nuremberg,1961,2,11
1062,Julius Caesar,1953,1,5
1063,Kentucky,1938,1,1
1064,Key Largo,1948,1,1
1065,The King and I,1956,5,9
1066,King of Jazz,1930,1,1
1067,King Solomon's Mines,1950,2,3
1068,Kitty Foyle,1940,1,5
1069,Knighty Knight Bugs,1958,1,1
1070,Kokoda Front Line!,1942,1,1
1071,Kon-Tiki,1950,1,1
1072,Krakatoa,1933,1,1
1073,Kukan,1941,0,0
1074,La Strada,1956,1,2
1075,La Dolce Vita,1961,1,4
1076,Lady Be Good,1941,1,1
1077,The Last Command,1928,1,2
1078,Laura,1944,1,5
1079,The Lavender Hill Mob,1952,1,2
1080,Lawrence of Arabia,1962,7,10
1081,Leave Her to Heaven,1945,1,4
1082,Lend a Paw,1941,1,1
1083,Les Girls,1957,1,3
1084,A Letter to Three Wives,1949,2,3
1085,The Life of Emile Zola,1937,3,10
1086,Light in the Window,1952,1,1
1087,Lili,1953,1,6
1088,Lilies of the Field,1963,1,5
1089,The Little Kidnappers,1954,0,0
1090,The Little Orphan,1948,1,1
1091,Little Women,1933,1,3
1092,Little Women,1949,1,2
1093,The Lives of a Bengal Lancer,1935,1,7
1094,The Living Desert,1953,1,1
1095,The Longest Day,1962,2,5
1096,Lost Horizon,1937,2,7
1097,The Lost Weekend,1945,4,7
1098,Love Is a Many-Splendored Thing,1955,3,8
1099,Love Me or Leave Me,1955,1,6
1100,Lust for Life,1956,1,4
1101,Magoo's Puddle Jumper,1956,1,1
1102,Main Street on the March!,1941,1,1
1103,The Man Who Knew Too Much,1956,1,1
1104,Manhattan Melodrama,1934,1,1
1105,Marie-Louise,1945,1,1
1106,Marty,1955,4,8
1107,Mary Poppins,1964,5,13
1108,Men Against the Arctic,1955,1,1
1109,The Merry Widow,1934,1,1
1110,A Midsummer Night's Dream,1935,2,7
1111,Mighty Joe Young,1949,1,1
1112,Mildred Pierce,1945,1,6
1113,The Milky Way,1940,1,1
1114,Min and Bill,1931,1,1
1115,Miracle on 34th Street,1947,3,4
1116,The Miracle Worker,1962,2,5
1117,Mister Roberts,1955,1,3
1118,Monsieur Vincent,1948,0,0
1119,Moonbird,1959,1,1
1120,The More the Merrier,1943,1,6
1121,Morning Glory,1933,1,1
1122,Moscow Strikes Back,1942,1,1
1123,Mother Wore Tights,1947,1,3
1124,Moulin Rouge,1952,2,7
1125,Mouse Trouble,1944,1,1
1126,Mr. Deeds Goes to Town,1936,1,5
1127,Mr. Smith Goes to Washington,1939,1,11
1128,Mrs. Miniver,1942,6,12
1129,Munro,1960,1,1
1130,The Music Box,1932,1,1
1131,The Music Man,1962,1,6
1132,Mutiny on the Bounty,1935,1,8
1133,My Fair Lady,1964,8,12
1134,My Uncle,1958,1,1
1135,My Gal Sal,1942,1,2
1136,The Naked City,1948,2,3
1137,National Velvet,1945,2,5
1138,Nature's Half Acre,1951,1,1
1139,Naughty Marietta,1935,1,2
1140,Neighbours,1952,1,2
1141,Neptune's Daughter,1949,1,1
1142,Never on Sunday,1960,1,5
1143,The Night of the Iguana,1964,1,4
1144,Nights of Cabiria,1957,1,1
1145,Nine from Little Rock,1964,1,1
1146,None But the Lonely Heart,1944,1,4
1147,North West Mounted Police,1940,1,5
1148,"Now, Voyager",1942,1,3
1149,An Occurrence at Owl Creek Bridge,1963,1,1
1150,Of Pups and Puzzles,1941,1,1
1151,Oklahoma!,1955,2,4
1152,The Old Man and the Sea,1958,1,3
1153,The Old Mill,1937,1,1
1154,On the Town,1949,1,1
1155,On the Waterfront,1954,8,12
1156,One Hundred Men and a Girl,1937,1,5
1157,One Night of Love,1934,2,6
1158,One Way Passage,1933,1,1
1159,Overture to The Merry Wives of Windsor,1953,1,1
1160,The Paleface,1948,1,1
1161,Panic in the Streets,1950,1,1
1162,Papa's Delicate Condition,1963,1,1
1163,The Patriot,1929,1,5
1164,Penny Wisdom,1937,1,1
1165,Phantom of the Opera,1943,2,4
1166,The Philadelphia Story,1940,2,6
1167,Picnic,1955,2,6
1168,The Picture of Dorian Gray,1945,1,3
1169,Pillow Talk,1959,1,5
1170,The Pink Phink,1964,1,1
1171,Pinocchio,1940,2,2
1172,A Place in the Sun,1951,6,9
1173,Plymouth Adventure,1952,1,1
1174,Pollyanna,1960,0,0
1175,Porgy and Bess,1959,1,4
1176,Portrait of Jennie,1948,1,2
1177,Prelude to War,1942,1,1
1178,Pride and Prejudice,1940,1,1
1179,The Pride of the Yankees,1942,1,11
1180,Princess O'Rourke,1943,1,1
1181,The Private Life of Henry VIII,1933,1,2
1182,The Private Life of the Gannets,1937,1,1
1183,Project Hope,1961,1,1
1184,The Public Pays,1936,1,1
1185,Pygmalion,1938,1,4
1186,Quicker'n a Wink,1940,1,1
1187,The Quiet Man,1952,2,7
1188,Quiet Please!,1945,1,1
1189,The Rains Came,1939,1,8
1190,Rashomon,1951,0,1
1191,The Razor's Edge,1946,1,4
1192,Reap the Wild Wind,1942,1,3
1193,Rebecca,1940,2,11
1194,The Red Balloon,1956,1,1
1195,The Red Shoes,1948,2,5
1196,The Robe,1953,2,5
1197,Robert Frost: A Lover's Quarrel with the World,1963,1,1
1198,Roman Holiday,1953,3,10
1199,Room at the Top,1959,2,6
1200,The Rose Tattoo,1955,3,8
1201,Sabrina,1954,1,6
1202,Samson and Delilah,1950,2,5
1203,Samurai I: Musashi Miyamoto,1955,0,0
1204,San Francisco,1936,1,6
1205,Sayonara,1957,4,10
1206,The Scoundrel,1935,1,1
1207,The Sea Around Us,1952,1,1
1208,Seal Island,1948,1,1
1209,The Search,1948,1,4
1210,Seawards the Great Ships,1961,1,1
1211,The Secret Land,1948,1,1
1212,Seeds of Destiny,1946,1,1
1213,Separate Tables,1958,2,7
1214,Serengeti Shall Not Die,1959,1,1
1215,Sergeant York,1941,2,11
1216,Seven Brides for Seven Brothers,1954,1,5
1217,Seven Days to Noon,1951,1,1
1218,The Seventh Veil,1946,1,1
1219,Shane,1953,1,6
1220,Shanghai Express,1932,1,3
1221,She Wore a Yellow Ribbon,1949,1,1
1222,Shoeshine,1947,0,1
1223,The Silent World,1956,1,1
1224,The Sin of Madelon Claudet,1932,1,1
1225,Since You Went Away,1944,1,9
1226,Skippy,1931,1,4
1227,Sky Above and Mud Beneath,1961,1,1
1228,The Snake Pit,1948,1,6
1229,Snow White and the Seven Dwarfs,1937,0,1
1230,So Much for So Little,1949,1,1
1231,So This Is Harris!,1933,1,1
1232,The Solid Gold Cadillac,1956,1,2
1233,Some Like It Hot,1959,1,6
1234,Somebody Up There Likes Me,1956,2,3
1235,The Song of Bernadette,1943,4,12
1236,Song of the South,1947,1,2
1237,Song Without End,1960,1,1
1238,Sons and Lovers,1960,1,7
1239,Sons of Liberty,1939,1,1
1240,South Pacific,1958,1,3
1241,Spartacus,1960,4,6
1242,Spawn of the North,1938,0,0
1243,Speaking of Animals and Their Families,1942,1,1
1244,Speedy Gonzales,1955,1,1
1245,Spellbound,1945,1,6
1246,Splendor in the Grass,1961,1,2
1247,Stagecoach,1939,2,7
1248,Stairway to Light,1945,1,1
1249,Stalag 17,1953,1,3
1250,Star in the Night,1945,1,1
1251,A Star Is Born,1937,1,7
1252,State Fair,1945,1,2
1253,The Story of Louis Pasteur,1936,3,4
1254,The Stratton Story,1949,1,1
1255,Street Angel,1928,1,3
1256,A Streetcar Named Desire,1951,4,12
1257,Strike Up the Band,1940,1,3
1258,The Substitute,1961,1,1
1259,Sundays and Cybele,1962,1,3
1260,Sunrise,1928,3,9
1261,Sunset Boulevard,1950,3,11
1262,Survival City,1955,1,1
1263,Suspicion,1941,1,3
1264,Sweet Bird of Youth,1962,1,3
1265,Sweethearts,1938,0,2
1266,Swing Time,1936,1,2
1267,Symphony of a City,1948,1,1
1268,Tabu,1931,1,1
1269,Target for Tonight,1941,0,0
1270,"Teddy, the Rough Rider",1940,1,1
1271,Tempest,1928,1,1
1272,The Ten Commandments,1956,1,7
1273,That Hamilton Woman,1941,1,4
1274,That Mothers Might Live,1938,1,1
1275,The Thief of Bagdad,1940,3,4
1276,The Third Man,1950,1,3
1277,Thirty Seconds Over Tokyo,1944,1,2
1278,This Above All,1942,1,4
1279,This Is the Army,1943,1,3
1280,This Land Is Mine,1943,1,1
1281,This Mechanical Age,1954,1,1
1282,Three Coins in the Fountain,1954,2,3
1283,The Three Faces of Eve,1957,1,1
1284,Three Little Pigs,1933,1,1
1285,Three Orphan Kittens,1935,1,1
1286,Through a Glass Darkly,1961,1,2
1287,Thunderball,1965,1,1
1288,Thursday's Children,1954,1,1
1289,The Time Machine,1960,1,1
1290,A Time Out of War,1954,1,1
1291,Tin Pan Alley,1940,1,1
1292,The Titan: Story of Michelangelo,1950,1,1
1293,Titanic,1953,1,2
1294,To Catch a Thief,1955,1,3
1295,To Each His Own,1946,1,2
1296,To Kill a Mockingbird,1962,3,8
1297,Tom Jones,1963,4,10
1298,tom thumb,1958,1,1
1299,"Toot, Whistle, Plunk and Boom",1953,1,1
1300,Topkapi,1964,1,1
1301,The Tortoise and the Hare,1934,1,1
1302,Torture Money,1937,1,1
1303,Toward Independence,1948,1,1
1304,Transatlantic,1932,1,1
1305,The Treasure of the Sierra Madre,1948,3,4
1306,A Tree Grows in Brooklyn,1945,1,2
1307,The True Glory,1945,1,1
1308,The True Story of the Civil War,1956,1,1
1309,Tweetie Pie,1947,1,1
1310,Twelve O'Clock High,1949,2,4
1311,Two Arabian Knights,1928,1,1
1312,The Two Mouseketeers,1951,1,1
1313,Two Women,1961,1,1
1314,The Ugly Duckling,1939,1,1
1315,Underworld,1928,1,1
1316,The V.I.P.s,1963,1,1
1317,Vacation from Marriage,1946,1,1
1318,Van Gogh,1949,1,1
1319,The Vanishing Prairie,1954,1,1
1320,The Virgin Spring,1960,1,2
1321,Viva Villa!,1934,1,4
1322,Viva Zapata!,1952,1,5
1323,Waikiki Wedding,1937,1,2
1324,The Walls of Malapaga,1950,0,0
1325,The War of the Worlds,1953,1,3
1326,Watch on the Rhine,1943,1,4
1327,Water Birds,1952,1,1
1328,The Way of All Flesh,1928,1,1
1329,West Side Story,1961,10,11
1330,The Westerner,1940,1,3
1331,The Wetback Hound,1957,1,1
1332,What Ever Happened to Baby Jane?,1962,1,5
1333,When Tomorrow Comes,1939,1,1
1334,When Magoo Flew,1954,1,1
1335,When Worlds Collide,1951,1,2
1336,White Shadows in the South Seas,1929,1,1
1337,White Wilderness,1958,1,2
1338,Who's Who in Animal Land,1944,1,1
1339,Why Korea?,1950,1,1
1340,Wilson,1944,5,10
1341,Wings,1928,2,2
1342,Wings Over Everest,1935,1,1
1343,With a Song in My Heart,1952,1,5
1344,With Byrd at the South Pole,1930,1,1
1345,With the Marines at Tarawa,1944,1,1
1346,The Wizard of Oz,1939,2,10
1347,Woman of the Year,1942,1,2
1348,Wonder Man,1945,1,4
1349,The Wonderful World of the Brothers Grimm,1962,1,4
1350,World of Kids,1951,1,1
1351,World Without Sun,1964,1,1
1352,Wrestling Swordfish,1932,1,1
1353,Written on the Wind,1956,1,3
1354,Wuthering Heights,1939,1,8
1355,Yankee Doodle Dandy,1942,3,8
1356,The Yankee Doodle Mouse,1943,1,1
1357,The Yearling,1946,2,7
1358,"Yesterday, Today and Tomorrow",1964,1,1
1359,You Can't Take It with You,1938,2,7
1360,Zorba the Greek,1964,3,7